team,matches_played,wins,win_percentage,recent_form_wins,total_runs,balls_faced,strike_rate,wickets,balls_bowled,economy
Royal Challengers Bangalore,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182
Punjab Kings,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979
Delhi Capitals,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458
Kolkata Knight Riders,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529
Mumbai Indians,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.8999611092829145
Rajasthan Royals,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583
Deccan Chargers,75,29,38.666666666666664,2,11463,9034,126.88731458932921,446,9039,7.711915034848988
Chennai Super Kings,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484
Kochi Tuskers Kerala,14,6,42.857142857142854,2,1901,1582,120.16434892541088,74,1614,7.382899628252788
Pune Warriors,46,12,26.08695652173913,2,6358,5443,116.81058239941208,238,5457,7.539307311709731
Sunrisers Hyderabad,196,93,47.44897959183674,3,31590,23442,134.75812643972358,1162,23351,8.141921116868657
Gujarat Titans,90,50,55.55555555555556,2,15511,10896,142.3549926578561,537,10690,8.666604303086997
Rising Pune Supergiants,30,15,50.0,3,4533,3480,130.25862068965517,189,3543,7.703640982218459
Lucknow Super Giants,58,30,51.724137931034484,1,10242,7144,143.36506159014556,344,6934,8.820882607441591
